"","xwoba_bin","xwoba","field_out","strikeout","single","walk","double","home_run","force_out","grounded_into_double_play","hit_by_pitch","field_error","sac_fly","triple"
"1",20,0.202100741692536,0.386943495671896,0.343589185011663,0.112159820731747,0.0589113877302293,0.0207709518839904,0.00655480119139508,0.0237012550788915,0.0101116955776927,0.00558469542937581,0.00613487719704327,0.00639602446076253,0.00402998829823414
"2",21,0.206998549323265,0.390230463999736,0.33406327355702,0.114444946448955,0.0588177923088585,0.0234252427636393,0.00842314086851164,0.022818028612732,0.0115091302468621,0.00602191114322883,0.00601344311739233,0.00618742357277317,0.00389846628358936
"3",22,0.212155457721586,0.393273098531631,0.324971725750049,0.116617484476954,0.05884807624618,0.0258486824254918,0.0101435446147891,0.0220597586895432,0.0127484474843348,0.00644892741726877,0.00591817776108955,0.00600602383229219,0.0037783445095887
"4",23,0.216868835608994,0.396046760754474,0.316331525561732,0.118627943340784,0.0590371577457231,0.0280214852293619,0.0117074300425266,0.0214527017529119,0.0137997310590043,0.00688226644440707,0.0058552843972243,0.00585502486027743,0.00366861251195461
"5",24,0.221893911539706,0.398580154570492,0.308143081461041,0.120533388976735,0.0593297569395205,0.0299697454842037,0.0131231042975367,0.0209652958904132,0.0147024140410477,0.00730167374600825,0.0058179541648003,0.00573245941018957,0.00357053955240709
"6",25,0.22665090002874,0.400890943384693,0.300393524335894,0.122397300770255,0.0596908185027237,0.0317072402535164,0.0143978443940772,0.0205677502329368,0.0154842922870869,0.00769153541096544,0.0058012497751223,0.00563539799505203,0.00348400749218571
"7",26,0.231622374170375,0.402925785193855,0.293099868359836,0.124276423474184,0.060153455871032,0.0331704736560917,0.0155159591340786,0.0202605262302778,0.0160959731263528,0.00806380313725551,0.00581427551629382,0.00556747133823704,0.00340189740441152
"8",27,0.236496712724676,0.404696386314541,0.286253828896871,0.126137872664326,0.0607215069740967,0.0343720648176737,0.0164800820961446,0.0200525491579341,0.0165413699148304,0.00841845025827848,0.00585518571050601,0.00552798543475887,0.00332660818456415
"9",28,0.241522115780283,0.406317982631438,0.279804588620601,0.127910683960576,0.0613160032279974,0.0354399633121897,0.0173249774595434,0.0199267238853485,0.0169282375492732,0.00872189531606221,0.00590261812019502,0.005507523705104,0.00327229842742117
"10",29,0.246403152763697,0.407778738717465,0.273790926206037,0.129332723312366,0.0621150668611362,0.0362388539153109,0.0179513854180383,0.0200586893930336,0.0170900979408302,0.00897541001211276,0.00597791551587455,0.00550767874864038,0.00325005161983958
"11",30,0.251251680241252,0.409039026456263,0.268228386242246,0.130439694536747,0.0631190996837463,0.0367572515814076,0.0183694076426807,0.0204318288591628,0.017016454440912,0.00919885918805563,0.00608520135150068,0.00553330095753714,0.0032535034030101
"12",31,0.256216661629328,0.410172392698597,0.26303130027391,0.131607390055042,0.0639825524846535,0.037308851152455,0.0187778505286708,0.0207406634496701,0.0170490341066644,0.00938655109609791,0.00617728441467311,0.00557986044148243,0.00327064060321088
"13",32,0.26106718406582,0.411118237490626,0.259022730966142,0.132847868802112,0.0643836550697606,0.0377293174916038,0.0189061157533381,0.0209819976121658,0.0172078616397622,0.00948101448745572,0.00630449557862922,0.00572319397746435,0.00328440189789891
"14",33,0.266043401028643,0.411838177499978,0.256017178038732,0.134061373522287,0.0645395718066842,0.0379250083854948,0.0187578167012358,0.0212644635120041,0.0173408674136564,0.00950684092184345,0.0064732959122274,0.00594531715359222,0.00330019711649273
"15",34,0.271055275663463,0.412439084509617,0.25241612861838,0.135455972351096,0.0649131553268212,0.0383156580613381,0.0189430773284007,0.021450323891735,0.0175316369931568,0.00958143286421565,0.00657068949649886,0.00610096829623609,0.00333971981321282
"16",35,0.275881402068829,0.412980139433892,0.247829047265379,0.137512849714095,0.0653577400353319,0.0390334776998721,0.0195439789607978,0.0214095391666148,0.0179830858049364,0.00959830538376351,0.00648748261026414,0.00611218745018203,0.00348950390380104
"17",36,0.280838779193677,0.413426346822987,0.243053578327261,0.140011743923826,0.065717030643753,0.0398517013694047,0.0202513572646983,0.0212436803462966,0.0186097203147234,0.00951283424236306,0.00630585531865731,0.0060628649476258,0.00371547373485561
"18",37,0.285668562267318,0.413743313913623,0.238273478611583,0.142108553946297,0.0664394352430465,0.0406515976285009,0.0210884677065977,0.0211624260649256,0.01906251264591,0.00953521294399618,0.00619987238217988,0.00605051454605205,0.00385840850688156
"19",38,0.290645553618166,0.41404832090593,0.233144306231022,0.143603379338918,0.0677042144834295,0.0414847191314086,0.0222287662577167,0.0212414150683485,0.0193197495123736,0.0097879631916933,0.00617676626733188,0.00605363334806535,0.00389699772559795
"20",39,0.295518293996169,0.41431458113976,0.227701732074902,0.144885736584105,0.0692652526892548,0.0424053151232092,0.0236091919106154,0.0213600471053041,0.0195526756385447,0.0101559939145195,0.00615372638017044,0.00603427214686372,0.00391117562433003
"21",40,0.300392737223177,0.414291601561418,0.22269968211575,0.145995650035374,0.0709328934626876,0.0432986990487179,0.024898224663798,0.0214336423142756,0.0197017001636447,0.0104930794555085,0.00616975289053263,0.00606527523582192,0.00389358849499207
"22",41,0.305413420599901,0.413813036398905,0.217965712393962,0.147025033184572,0.0729574604241865,0.0441153089296288,0.0261567347568212,0.021468738556393,0.0196013144264085,0.0109496334675228,0.00629730475084679,0.00620867594130536,0.00377629541989756
"23",42,0.310332464704441,0.413135127030897,0.213440572335574,0.147892391552505,0.0750800802514046,0.0449379962178603,0.0274562337609196,0.0214932636838201,0.0194436652904574,0.0114017311657224,0.00643069914774133,0.00637875766711308,0.00364772218443116
"24",43,0.315172738806072,0.412267947476165,0.209494203503606,0.148502382801753,0.0771119868150804,0.0458115479821723,0.0286080664779488,0.0215212708180938,0.0193082524503919,0.0116448774827526,0.00658699780308494,0.00652906467779237,0.00352196022913894
"25",44,0.320142910487555,0.411152716771,0.205831412343786,0.148955091016852,0.079303723278408,0.0466883053602289,0.0297233801076138,0.0215533668203524,0.0190727962338802,0.0118448855187856,0.0068115507101745,0.00669818557638365,0.00334302507976674
"26",45,0.325010964758837,0.410069540113991,0.202378212231153,0.149323568227683,0.0813608017680288,0.0475135330455383,0.0309363202427106,0.0215167874250313,0.0189115200170761,0.0119994842115931,0.0069185777972895,0.00686490628015186,0.00323299921063518
"27",46,0.329948716985727,0.408926435441225,0.199624952742496,0.149262209414553,0.08330312693217,0.048337932181813,0.0321552573489699,0.0213949941778689,0.0187826866766521,0.0120440918126387,0.00683037380804221,0.00709053782060754,0.00321899379044874
"28",47,0.334838753254452,0.407622219972118,0.197449030472735,0.148814721008759,0.0852744786740769,0.0491845824221963,0.0333231728993814,0.0212266273478066,0.0186345328004996,0.0120012463304001,0.00666246304881336,0.00736750911822516,0.0032371950381874
"29",48,0.339697876106851,0.406423197830244,0.194857029324107,0.148638122216667,0.0871661820029186,0.0499573162243428,0.0346261289976294,0.021021690754085,0.0186262423316002,0.0119993563381698,0.00651890979203496,0.00757128292371556,0.00327329800358506
"30",49,0.344605729626329,0.405033686203732,0.191655895320537,0.148986268415813,0.0888363691786948,0.0507853034874346,0.036267594602811,0.0207102453047383,0.0187889618317832,0.0120954455721888,0.00633424660219453,0.0076522004716881,0.00343073259204356
"31",50,0.349538481392155,0.403409029849265,0.188368504013628,0.149491119039784,0.0903611972924791,0.0516727329465281,0.0381212562926246,0.0203163501218836,0.0190349112427858,0.012214259000708,0.00607238729549709,0.00768176948906725,0.00368468728817533
"32",51,0.354616415636538,0.402192074243246,0.185075333597136,0.149876849379025,0.0919590286000515,0.0523359653130898,0.0398785025986562,0.0199910063458858,0.0193448845774522,0.0122857870450345,0.00588146802195094,0.00771720246503647,0.00382849501053013
"33",52,0.359351583609206,0.401945883031223,0.180853594135766,0.150456009707494,0.0934117107990992,0.0527777947861407,0.0416184730257061,0.0196944745492584,0.0199742503452203,0.0124121319220596,0.00572856295563663,0.00775493985549212,0.00384040837085089
"34",53,0.36433250137473,0.401795986670292,0.176811724514354,0.150963956438213,0.094904079861902,0.0530663394022393,0.0433510505853662,0.0194191578773914,0.0205877330296066,0.0124799978022256,0.00560204872914558,0.00778591665181062,0.00382121145066089
"35",54,0.369177692355765,0.401099110983549,0.174554198541227,0.15077547464223,0.0968087677251137,0.0529255394796961,0.0448804658729737,0.0192766547871944,0.0209479206307796,0.0124643210892415,0.00539702715670537,0.00786256201525162,0.0037473959278598
"36",55,0.374127348625556,0.400337495965113,0.172874746855322,0.150330282613152,0.0988423076307768,0.0525164518095741,0.046381037861531,0.0191861362504013,0.0213292208406396,0.0124460098404068,0.00513427644445761,0.00794349045174615,0.00363174495116806
"37",56,0.379094156657815,0.399685958565251,0.170684576126501,0.15008416468385,0.100843396204644,0.0523090975687747,0.0479954029093089,0.0190581760389291,0.0215941911707452,0.0121909148877407,0.00518240101804797,0.00793693427070483,0.00350582585003707
"38",57,0.383904203401385,0.399047488239719,0.16800481973372,0.149997671824099,0.102817398378633,0.052328292590334,0.0497839119570785,0.018900313895892,0.0217662306762949,0.011709994958918,0.00554072402920729,0.00782771474106191,0.00337302740475688
"39",58,0.388866405186654,0.39845106854336,0.16531151962125,0.149886113103915,0.10484085751816,0.0523303240229228,0.0516072345534277,0.0187504891670603,0.0218956262312284,0.0111098207340938,0.00603810668681036,0.00767587548421549,0.00320979244908038
"40",59,0.393681527618977,0.398260507575063,0.162198245306925,0.149987410006533,0.106859237899227,0.0523824200168949,0.0533084849683523,0.0185648750283344,0.0218852670752164,0.0102996609740077,0.00678746050221887,0.00750248233827197,0.00300726939265325
"41",60,0.398602835951833,0.398525226395459,0.15863835453174,0.150318030488861,0.108870465494342,0.0524819223248448,0.0548580639641709,0.018340985319105,0.0217253476362217,0.00927390374574772,0.00779557568488954,0.00731367197930008,0.00276209415873701
"42",61,0.403560222446297,0.399045668432558,0.154846278377498,0.150757442810493,0.11090223372944,0.0525968477833015,0.0563435154504595,0.0181004393538783,0.0214615217315835,0.00807623626633336,0.00900564015079299,0.00709707883556375,0.00248099188826619
"43",62,0.408643190051446,0.399812175336329,0.150777196373245,0.151338068908688,0.11294465806066,0.0527504371685197,0.0577836684181,0.0178355685212278,0.0210798676850369,0.00668987602140129,0.0104351619710618,0.00684601537346216,0.00217024481739604
"44",63,0.413391321385103,0.4008736568055,0.14630275496666,0.152135820941779,0.114979570626877,0.052979174497634,0.0591750921263642,0.0175299368611237,0.0205587094732508,0.00508684828723516,0.0121206246825971,0.00655526762936811,0.00183475597656702
"45",64,0.418331008851528,0.402217730288046,0.141480717040345,0.153109769903838,0.117017769242764,0.0532609128908342,0.0605124370886284,0.017192605114247,0.0199168764998611,0.00328670352470432,0.0140411860821654,0.00622869931727092,0.00146959602369565
